Kitchen_1,Kitchen_2,Bedroom_2,Bedroom_4,Bedroom_5,Bedroom_6,BsmtFullBath_1,BsmtFullBath_3,LotArea,HalfBath_1,OpenPorchSF,2ndFlrSF,WoodDeckSF,LotFrontage,BsmtFinSF1,Fireplaces_1,Fireplaces_2,MasVnrArea,YearRemodAdd,YearBuilt,TotRmsAbvGrd_6,TotRmsAbvGrd_8,FullBath_3,TotalBsmtSF,GarageArea,GarageCars_3,GarageCars_4,GrLivArea,OverallQual_2,OverallQual_3,OverallQual_4,OverallQual_5,OverallQual_7,OverallQual_8,OverallQual_9,OverallQual_10,SalePrice
True,False,False,False,False,False,True,False,8450,True,61,854,0,65.0,706,False,False,196.0,2003,2003,False,True,False,856,548,False,False,1710,False,False,False,False,True,False,False,False,208500
True,False,False,False,False,False,False,False,9600,False,0,0,298,80.0,978,True,False,0.0,1976,1976,True,False,False,1262,460,False,False,1262,False,False,False,False,False,False,False,False,181500
True,False,False,False,False,False,True,False,11250,True,42,866,0,68.0,486,True,False,162.0,2002,2001,True,False,False,920,608,False,False,1786,False,False,False,False,True,False,False,False,223500
True,False,False,False,False,False,True,False,9550,False,35,756,0,60.0,216,True,False,0.0,1970,1915,False,False,False,756,642,True,False,1717,False,False,False,False,True,False,False,False,140000
True,False,False,True,False,False,True,False,14260,True,84,1053,192,84.0,655,True,False,350.0,2000,2000,False,False,False,1145,836,True,False,2198,False,False,False,False,False,True,False,False,250000
True,False,False,False,False,False,True,False,14115,True,30,566,40,85.0,732,False,False,0.0,1995,1993,False,False,False,796,480,False,False,1362,False,False,False,True,False,False,False,False,143000
True,False,False,False,False,False,True,False,10084,False,57,0,255,75.0,1369,True,False,186.0,2005,2004,False,False,False,1686,636,False,False,1694,False,False,False,False,False,True,False,False,307000
False,True,True,False,False,False,False,False,6120,False,0,752,90,51.0,0,False,True,0.0,1950,1931,False,True,False,952,468,False,False,1774,False,False,False,False,True,False,False,False,129900
False,True,True,False,False,False,True,False,7420,False,4,0,0,50.0,851,False,True,0.0,1950,1939,False,False,False,991,205,False,False,1077,False,False,False,True,False,False,False,False,118000
True,False,False,False,False,False,True,False,11200,False,0,0,0,70.0,906,False,False,0.0,1965,1965,False,False,False,1040,384,False,False,1040,False,False,False,True,False,False,False,False,129500
True,False,False,True,False,False,True,False,11924,False,21,1142,147,85.0,998,False,True,286.0,2006,2005,False,False,True,1175,736,True,False,2324,False,False,False,False,False,False,True,False,345000
True,False,True,False,False,False,True,False,12968,False,0,0,140,68.40684410646388,737,False,False,0.0,1962,1962,False,False,False,912,352,False,False,912,False,False,False,True,False,False,False,False,144000
True,False,False,False,False,False,False,False,10652,False,33,0,160,91.0,0,True,False,306.0,2007,2006,False,False,False,1494,840,True,False,1494,False,False,False,False,True,False,False,False,279500
True,False,True,False,False,False,False,False,6120,False,112,0,48,51.0,0,False,False,0.0,2001,1929,False,False,False,832,576,False,False,854,False,False,False,False,True,False,False,False,132000
True,False,True,False,False,False,True,False,11241,False,0,0,0,68.40684410646388,578,True,False,180.0,1970,1970,False,False,False,1004,480,False,False,1004,False,False,False,False,False,False,False,False,149000
True,False,False,False,False,False,True,False,13695,True,102,0,0,66.0,646,False,False,0.0,2004,2004,True,False,False,1114,576,False,False,1114,False,False,False,True,False,False,False,False,159000
True,False,False,False,False,False,False,False,7560,False,0,0,0,70.0,504,False,False,0.0,1965,1958,True,False,False,1029,294,False,False,1339,False,False,False,True,False,False,False,False,139000
True,False,False,False,False,False,False,False,7449,False,0,0,0,57.0,0,True,False,0.0,1950,1930,True,False,False,637,280,False,False,1108,False,False,False,False,True,False,False,False,139400
True,False,False,False,False,False,True,False,4224,False,110,0,100,44.0,840,True,False,0.0,1976,1976,True,False,False,1040,572,False,False,1060,False,False,False,True,False,False,False,False,129900
True,False,False,False,False,False,True,False,8246,False,90,0,406,68.40684410646388,188,True,False,0.0,2001,1968,True,False,False,1060,270,False,False,1060,False,False,False,True,False,False,False,False,154000
True,False,False,False,False,False,False,False,7200,False,32,0,222,60.0,234,False,False,0.0,2000,1951,False,False,False,900,576,False,False,900,False,False,False,True,False,False,False,False,134800
True,False,False,False,False,False,True,False,11478,False,50,0,0,98.0,1218,True,False,200.0,2008,2007,False,False,False,1704,772,True,False,1704,False,False,False,False,False,True,False,False,306000
True,False,False,False,False,False,False,False,6324,False,0,0,49,60.0,0,False,False,0.0,1950,1927,False,False,False,520,240,False,False,520,False,False,True,False,False,False,False,False,68500
True,False,False,False,False,False,False,False,8500,False,54,668,0,50.0,0,False,False,0.0,1950,1920,True,False,False,649,250,False,False,1317,False,False,True,False,False,False,False,False,40000
True,False,False,False,False,False,False,False,8544,True,65,0,0,68.40684410646388,0,False,False,0.0,2006,1966,True,False,False,1228,271,False,False,1228,False,False,False,True,False,False,False,False,149350
True,False,False,False,False,False,False,False,11049,False,30,0,0,85.0,0,False,False,0.0,2007,2007,False,False,False,1234,484,False,False,1234,False,False,False,False,False,True,False,False,179900
True,False,False,True,False,False,False,False,10552,True,38,0,0,70.0,1018,True,False,0.0,1959,1959,True,False,False,1398,447,False,False,1700,False,False,False,True,False,False,False,False,165500
True,False,True,False,False,False,True,False,7313,False,47,0,203,60.0,1153,True,False,246.0,2005,2005,True,False,False,1561,556,False,False,1561,False,False,False,False,False,False,True,False,277500
True,False,False,False,False,False,True,False,7922,False,52,0,0,68.0,731,False,False,0.0,2007,1953,False,False,False,1057,246,False,False,1057,False,False,False,True,False,False,False,False,109000
True,False,False,False,False,False,False,False,8658,False,138,0,0,84.0,643,True,False,101.0,1965,1965,True,False,False,1088,440,False,False,1324,False,False,False,False,False,False,False,False,160000
True,False,True,False,False,False,True,False,9180,False,0,0,240,68.40684410646388,747,False,False,0.0,1983,1983,False,False,False,840,504,False,False,884,False,False,False,True,False,False,False,False,144000
True,False,False,False,False,False,True,False,9200,False,0,0,145,68.40684410646388,280,False,False,0.0,1980,1975,False,False,False,938,308,False,False,938,False,False,False,True,False,False,False,False,130250
True,False,False,False,False,False,True,False,7945,False,0,0,0,70.0,179,False,False,0.0,1959,1959,True,False,False,1150,300,False,False,1150,False,False,False,True,False,False,False,False,141000
True,False,False,False,False,False,True,False,12822,True,43,631,168,48.0,1351,True,False,0.0,2003,2003,True,False,False,1434,670,False,False,2149,False,False,False,False,True,False,False,False,239686
True,False,False,False,False,False,False,False,11096,False,146,0,0,84.0,24,False,False,0.0,2006,2006,False,False,False,1656,826,True,False,1656,False,False,False,False,False,True,False,False,249700
False,False,True,False,False,False,False,False,4456,False,0,716,0,33.0,0,False,False,0.0,2008,1920,False,True,False,736,0,False,False,1452,False,False,True,False,False,False,False,False,113000
True,False,False,False,False,False,True,False,7742,False,0,0,0,66.0,763,False,False,0.0,1966,1966,True,False,False,955,386,False,False,955,False,False,False,True,False,False,False,False,127000
True,False,False,False,False,False,False,False,13869,False,75,676,0,68.40684410646388,182,False,False,0.0,1997,1997,True,False,False,794,388,False,False,1470,False,False,False,False,False,False,False,False,177000
True,False,False,False,False,False,False,False,6240,False,0,0,112,52.0,0,True,False,0.0,1950,1934,True,False,False,816,528,False,False,1176,False,False,False,False,False,False,False,False,114500
True,False,False,False,False,False,False,False,7134,False,50,0,0,60.0,384,True,False,0.0,1955,1955,True,False,False,384,572,False,False,1360,False,False,False,True,False,False,False,False,130000
True,False,False,False,False,False,False,False,10175,False,0,0,0,100.0,490,True,False,272.0,1964,1964,False,False,False,1425,576,False,False,1425,False,False,False,False,False,False,False,False,180500
True,False,False,False,False,False,False,False,11645,True,70,860,0,89.0,0,False,False,0.0,2004,2004,False,False,False,860,565,False,False,1720,False,False,False,False,True,False,False,False,196500
True,False,True,False,False,False,False,False,7200,False,0,0,196,60.0,632,False,False,0.0,1972,1972,False,False,False,780,352,False,False,780,False,False,False,True,False,False,False,False,124900
True,False,False,False,False,False,True,False,13072,True,50,0,0,63.0,941,False,False,0.0,2004,2004,False,False,False,1158,576,False,False,1158,False,False,False,False,False,False,False,False,158000
True,False,False,False,False,False,False,False,7200,False,0,530,0,60.0,0,False,False,0.0,1996,1920,True,False,False,530,288,False,False,1111,False,False,False,True,False,False,False,False,101000
True,False,True,False,False,False,False,False,6442,False,49,0,120,44.0,24,True,False,178.0,2006,2006,True,False,False,1370,484,False,False,1370,False,False,False,False,False,True,False,False,202500
True,False,False,False,False,False,False,False,10300,False,11,808,12,50.0,0,False,False,0.0,1950,1921,False,False,False,576,480,False,False,1710,False,False,False,False,True,False,False,False,140000
True,False,False,True,False,False,False,False,9591,True,151,1330,192,76.0,0,True,False,344.0,2005,2004,False,False,False,1143,852,True,False,2473,False,False,False,False,False,True,False,False,317000
True,False,False,False,False,False,True,False,10665,False,29,0,144,72.0,1013,False,False,167.0,2003,2003,False,False,False,1453,558,False,False,1479,False,False,False,False,True,False,False,False,226000
True,False,True,False,False,False,False,False,4608,False,0,0,0,47.0,0,False,False,0.0,1950,1945,False,False,False,747,220,False,False,747,False,False,True,False,False,False,False,False,80000
True,False,False,False,False,False,False,False,15593,False,21,983,0,81.0,603,True,False,0.0,1953,1953,False,False,False,1304,667,False,False,2287,False,False,False,False,True,False,False,False,225000
True,False,True,False,False,False,True,False,7599,False,0,0,0,69.0,565,False,False,0.0,2006,1982,False,False,False,845,360,False,False,845,False,False,True,False,False,False,False,False,129500
True,False,False,False,False,False,False,False,10141,True,94,833,0,74.0,0,True,False,40.0,1998,1998,False,False,False,832,427,False,False,1718,False,False,False,False,True,False,False,False,185000
True,False,False,False,False,False,True,False,10200,False,0,0,0,85.0,320,False,False,104.0,2003,1954,True,False,False,1086,490,False,False,1086,False,False,False,True,False,False,False,False,144900
False,True,False,False,False,False,False,False,5790,False,0,765,0,60.0,0,False,False,0.0,1950,1915,False,True,False,840,379,False,False,1605,False,True,False,False,False,False,False,False,107400
True,False,True,False,False,False,False,False,8475,False,0,0,0,68.40684410646388,228,False,False,0.0,1956,1956,False,False,False,952,283,False,False,952,False,False,True,False,False,False,False,False,135750
True,False,True,False,False,False,True,False,8635,False,0,213,0,50.0,336,False,False,0.0,2001,1948,True,False,False,672,240,False,False,1285,False,False,False,True,False,False,False,False,127000
True,False,True,False,False,False,False,False,10440,True,0,548,74,60.0,0,False,False,0.0,1981,1910,False,False,False,440,440,False,False,1230,False,False,False,True,False,False,False,False,110000
True,False,False,False,False,False,False,False,8892,True,0,0,74,80.0,0,False,False,66.0,1960,1960,True,False,False,1065,461,False,False,1065,False,False,False,True,False,False,False,False,126500
True,False,False,False,False,False,False,False,8530,True,72,670,120,68.40684410646388,0,True,False,22.0,1996,1995,False,False,False,384,400,False,False,1474,False,False,False,False,True,False,False,False,168500
True,False,True,False,False,False,False,False,8470,False,0,0,0,105.0,0,False,False,0.0,1982,1915,True,False,False,1013,0,False,False,1526,False,True,False,False,False,False,False,False,85000
True,False,False,False,False,False,True,False,8070,False,0,0,0,60.0,588,False,False,0.0,1995,1994,False,False,False,990,0,False,False,990,False,False,True,False,False,False,False,False,123600
True,False,True,False,False,False,False,False,8500,False,0,0,0,85.0,600,False,False,203.0,1961,1961,True,False,False,1235,480,False,False,1235,False,False,False,True,False,False,False,False,98600
True,False,True,False,False,False,True,False,13360,False,0,0,0,80.0,713,False,False,0.0,2006,1921,False,False,False,876,432,False,False,964,False,False,False,True,False,False,False,False,163500
False,True,False,True,False,False,False,False,7200,False,0,1031,0,60.0,1046,True,False,0.0,1998,1910,False,False,False,1214,506,False,False,2291,False,False,False,False,False,False,False,False,133900
True,False,False,False,False,False,True,False,9337,True,162,881,0,69.0,648,False,False,0.0,1997,1997,False,False,False,824,684,False,False,1786,False,False,False,False,False,False,False,False,204750
True,False,False,False,False,False,False,False,9765,True,63,790,232,68.40684410646388,310,True,False,68.0,1993,1993,True,False,False,680,420,False,False,1470,False,False,False,False,False,False,False,False,185000
True,False,False,False,False,False,False,False,10264,False,29,0,158,78.0,1162,False,False,183.0,1999,1999,True,False,False,1588,472,False,False,1588,False,False,False,False,True,False,False,False,214000
True,False,False,False,False,False,True,False,10921,False,0,0,120,73.0,520,False,False,48.0,1965,1965,True,False,False,960,432,False,False,960,False,False,True,False,False,False,False,False,94750
True,False,True,False,False,False,False,False,10625,False,0,0,0,85.0,108,False,False,0.0,1950,1920,False,False,False,458,366,False,False,835,False,False,False,True,False,False,False,False,83000
True,False,False,False,False,False,True,False,9320,True,0,0,352,77.0,569,False,False,0.0,1959,1959,True,False,False,950,0,False,False,1225,False,False,True,False,False,False,False,False,128950
True,False,False,False,False,False,True,False,10603,False,68,0,168,68.40684410646388,1200,False,True,28.0,2001,1977,True,False,False,1610,480,False,False,1610,False,False,False,False,False,False,False,False,205000
True,False,False,False,False,False,False,False,9206,True,46,755,192,77.0,0,True,False,336.0,1985,1985,False,False,False,741,476,False,False,1732,False,False,False,False,False,False,False,False,178000
True,False,False,False,False,False,False,False,10402,False,36,0,0,94.0,0,False,False,0.0,2009,2009,True,False,False,1226,740,True,False,1226,False,False,False,False,True,False,False,False,198900
True,False,True,False,False,False,False,False,10800,False,0,0,0,60.0,0,False,False,0.0,1995,1885,True,False,False,641,273,False,False,1047,False,False,True,False,False,False,False,False,100000
True,False,True,False,False,False,False,False,6000,False,0,0,0,50.0,104,False,False,0.0,1950,1948,False,False,False,789,250,False,False,789,False,False,False,True,False,False,False,False,115000
True,False,False,False,False,False,False,False,8500,False,0,520,0,85.0,0,False,False,0.0,2005,1919,False,False,False,793,0,False,False,1517,False,False,False,True,False,False,False,False,115000
True,False,False,True,False,False,False,False,9525,False,0,639,182,75.0,444,False,False,0.0,1972,1954,False,False,False,994,325,False,False,1855,False,False,False,False,False,False,False,False,136900
True,False,False,False,False,False,False,False,7750,True,0,656,180,68.40684410646388,250,True,False,0.0,2000,2000,False,False,False,384,400,False,False,1430,False,False,False,False,True,False,False,False,180000
True,False,False,False,False,False,True,False,7259,True,0,884,224,61.0,774,True,False,0.0,2002,1945,False,False,False,1028,180,False,False,2320,False,False,False,False,False,False,False,False,259500
True,False,False,False,False,False,False,False,11616,False,20,0,0,68.40684410646388,170,True,False,116.0,1962,1962,True,False,False,1092,288,False,False,1092,False,False,False,True,False,False,False,False,139000
True,False,True,False,False,False,False,False,8536,True,64,0,80,74.0,0,False,False,0.0,2007,2006,False,False,False,1125,430,False,False,1125,False,False,False,True,False,False,False,False,155000
True,False,False,False,False,False,False,False,8461,True,24,728,0,65.0,0,True,False,0.0,2006,2005,False,True,False,728,390,False,False,1456,False,False,False,False,False,False,False,False,163990
True,False,False,False,False,False,False,False,6060,False,0,351,0,50.0,0,False,False,0.0,1950,1939,False,False,False,732,264,False,False,1123,False,False,True,False,False,False,False,False,100000
True,False,False,False,False,False,False,False,9464,False,0,0,0,75.0,570,False,False,135.0,1958,1958,False,False,False,1080,288,False,False,1080,False,False,False,False,False,False,False,False,136000
True,False,True,False,False,False,False,False,7892,False,63,0,0,55.0,300,False,False,0.0,1993,1993,False,False,False,1199,530,False,False,1199,False,False,False,False,False,False,False,False,153900
True,False,False,False,False,False,False,False,17043,False,0,0,192,48.0,0,True,False,0.0,1998,1979,False,False,False,1362,435,False,False,1586,False,False,False,False,False,False,False,False,181000
True,False,True,False,False,False,True,False,6780,False,0,0,53,60.0,490,False,False,0.0,1982,1935,False,False,False,520,0,False,False,754,False,False,False,False,False,False,False,False,84500
True,False,False,False,False,False,False,False,4388,False,0,0,0,55.0,116,True,False,0.0,1950,1930,False,False,False,672,0,False,False,840,False,False,False,True,False,False,False,False,87000
True,False,False,False,False,False,False,False,7590,True,108,688,188,69.0,512,True,False,266.0,1966,1966,True,False,False,660,453,False,False,1348,False,False,False,False,False,False,False,False,155000
True,False,False,False,False,False,False,False,8973,True,80,0,0,69.0,567,False,False,85.0,1991,1958,True,False,False,1008,750,False,False,1053,False,False,False,True,False,False,False,False,150000
True,False,False,True,False,False,False,False,14200,True,66,941,105,88.0,445,False,True,309.0,1966,1966,False,True,False,924,487,False,False,2157,False,False,False,False,True,False,False,False,226000
True,False,False,False,False,False,True,False,12224,True,48,1032,24,68.40684410646388,695,True,False,40.0,2000,2000,False,False,False,992,390,False,False,2054,False,False,False,False,False,False,False,False,244000
True,False,False,False,False,False,True,False,7388,False,0,0,0,75.0,405,False,False,0.0,2002,1959,False,False,False,1063,624,False,False,1327,False,False,False,True,False,False,False,False,150750
True,False,True,False,False,False,True,False,6853,False,25,0,192,68.40684410646388,1005,False,False,136.0,2002,2001,True,False,False,1267,471,False,False,1296,False,False,False,False,False,True,False,False,220000
True,False,False,False,False,False,False,False,10335,True,96,0,0,78.0,570,True,False,0.0,1993,1968,False,False,False,1461,440,False,False,1721,False,False,False,True,False,False,False,False,180000
True,False,False,False,False,False,False,False,10400,False,0,0,98,80.0,0,True,False,288.0,1970,1970,False,False,False,1304,530,False,False,1682,False,False,False,False,True,False,False,False,174000
True,False,False,False,False,False,False,False,10355,False,111,0,0,68.40684410646388,695,True,False,196.0,1967,1967,False,False,False,1214,318,False,False,1214,False,False,False,True,False,False,False,False,143000
True,False,False,False,False,False,False,False,9066,True,106,848,224,73.0,668,False,True,320.0,2000,1999,False,False,False,1004,660,True,False,1852,False,False,False,False,False,True,False,False,230000
True,False,False,False,False,False,True,False,15426,True,99,836,276,65.0,821,False,False,0.0,1997,1997,False,False,False,928,470,False,False,1764,False,False,False,False,False,False,False,False,231500
True,False,False,False,False,False,False,False,10500,False,0,0,0,70.0,432,True,False,0.0,1971,1971,False,False,False,864,0,False,False,864,False,False,True,False,False,False,False,False,115000
True,False,False,False,False,False,True,False,11645,False,24,0,160,78.0,1300,False,False,0.0,2005,2005,False,False,False,1734,660,False,False,1734,False,False,False,False,True,False,False,False,260000
True,False,False,True,False,False,False,False,8520,False,0,475,0,71.0,507,False,False,0.0,1952,1952,True,False,False,910,720,False,False,1385,False,False,False,True,False,False,False,False,166000
True,False,False,False,False,False,True,False,10335,False,29,0,144,78.0,679,False,False,183.0,1999,1999,True,False,False,1490,577,False,False,1501,False,False,False,False,True,False,False,False,204000
False,True,False,False,False,True,True,False,9100,False,0,0,0,70.0,1332,False,False,336.0,1963,1963,False,False,False,1728,504,False,False,1728,False,False,False,True,False,False,False,False,125000
True,False,True,False,False,False,True,False,6120,False,0,0,48,51.0,209,False,False,0.0,1993,1931,False,False,False,715,180,False,False,875,False,False,False,True,False,False,False,False,105000
True,False,False,False,False,False,False,False,9505,True,48,1151,144,68.40684410646388,0,True,False,180.0,2001,2001,False,True,False,884,434,False,False,2035,False,False,False,False,True,False,False,False,222500
True,False,False,False,False,False,True,False,7500,False,0,0,0,63.0,680,False,False,120.0,2005,2004,True,False,False,1080,0,False,False,1080,False,False,False,False,True,False,False,False,141000
True,False,False,False,False,False,False,False,6240,False,114,448,200,68.40684410646388,0,False,False,0.0,1950,1936,False,False,False,896,240,False,False,1344,False,False,False,True,False,False,False,False,115000
True,False,False,True,False,False,False,False,14803,True,66,896,0,68.40684410646388,416,True,False,252.0,1971,1971,False,True,False,825,495,False,False,1993,False,False,False,False,False,False,False,False,190000
True,False,False,False,False,False,True,False,13500,False,0,0,409,68.40684410646388,429,True,False,0.0,1975,1960,False,False,False,1602,564,False,False,1252,False,False,False,False,False,False,False,False,235000
True,False,False,True,False,False,False,False,11340,False,0,0,0,84.0,0,False,False,0.0,1950,1923,False,False,False,1200,312,False,False,1200,False,False,False,False,False,False,False,False,125000
True,False,True,False,False,False,False,False,9600,False,8,524,0,60.0,0,False,False,0.0,1950,1924,False,False,False,572,0,False,False,1096,False,False,False,False,False,False,False,False,79000
True,False,False,True,False,False,False,False,12003,True,75,1194,0,92.0,0,True,False,84.0,2010,2009,False,True,False,774,680,True,False,1968,False,False,False,False,False,True,False,False,269500
True,False,False,False,False,False,False,False,12552,True,136,956,0,100.0,222,True,False,0.0,2005,2004,False,True,False,991,678,False,False,1947,False,False,False,False,True,False,False,False,254900
True,False,False,False,False,False,False,False,11120,False,0,0,0,68.40684410646388,660,False,False,0.0,1984,1984,True,False,False,1232,516,False,False,1232,False,False,False,False,False,False,False,False,162500
True,False,False,False,False,False,False,False,12182,False,70,0,0,95.0,1201,True,False,226.0,2005,2005,False,False,False,1541,532,False,False,1541,False,False,False,False,True,False,False,False,220000
True,False,False,False,False,False,False,False,5500,False,0,0,0,55.0,0,False,False,0.0,1956,1956,False,False,False,882,0,False,False,882,False,False,True,False,False,False,False,False,103200
True,False,False,False,False,False,False,False,5400,False,0,467,0,40.0,370,False,False,0.0,2004,1926,False,False,False,1149,216,False,False,1616,False,False,False,False,False,False,False,False,152000
False,True,False,True,False,False,True,False,10106,False,0,547,140,62.0,351,False,False,0.0,1999,1940,True,False,False,644,0,False,False,1355,False,False,False,True,False,False,False,False,127500
True,False,False,False,False,False,True,False,10562,True,120,551,178,86.0,1288,True,False,300.0,2007,2007,False,True,False,1582,789,True,False,2161,False,False,False,False,False,True,False,False,325624
True,False,False,False,False,False,False,False,8244,True,48,880,100,62.0,0,True,False,0.0,2004,2004,False,False,False,840,440,False,False,1720,False,False,False,False,True,False,False,False,183500
True,False,True,False,False,False,False,False,12358,True,0,0,237,68.40684410646388,360,False,False,0.0,1950,1941,False,False,False,720,660,False,False,1382,False,False,False,True,False,False,False,False,128500
